trial,local_us,latency
0,1747604881919904,154
1,1747604882019877,31
2,1747604882119876,29
3,1747604882219876,26
4,1747604882319876,27
5,1747604882419876,26
6,1747604882519876,26
7,1747604882619876,26
8,1747604882719876,26
9,1747604882819876,26
10,1747604882919876,26
11,1747604883019876,26
12,1747604883119876,26
13,1747604883219876,26
14,1747604883319876,26
15,1747604883419876,26
16,1747604883519876,26
17,1747604883619876,26
18,1747604883719876,26
19,1747604883819876,26
20,1747604883919876,26
21,1747604884019876,26
22,1747604884119876,26
23,1747604884219876,26
24,1747604884319876,26
25,1747604884419876,26
26,1747604884519876,26
27,1747604884619876,26
28,1747604884719876,26
29,1747604884819876,26
30,1747604884919876,26
31,1747604885019876,26
32,1747604885119876,26
33,1747604885219876,26
34,1747604885319876,26
35,1747604885419876,26
36,1747604885519876,26
37,1747604885619876,26
38,1747604885719876,26
39,1747604885819876,26
40,1747604885919876,26
41,1747604886019876,26
42,1747604886119876,26
43,1747604886219876,26
44,1747604886319876,26
45,1747604886419876,26
46,1747604886519876,26
47,1747604886619876,26
48,1747604886719876,26
49,1747604886819876,26
50,1747604886919876,26
51,1747604887019876,26
52,1747604887119876,26
53,1747604887219876,26
54,1747604887319876,26
55,1747604887419876,26
56,1747604887519876,26
57,1747604887619876,26
58,1747604887719876,26
59,1747604887819876,26
60,1747604887919876,26
61,1747604888019876,26
62,1747604888119876,26
63,1747604888219876,26
64,1747604888319876,26
65,1747604888419876,26
66,1747604888519876,26
67,1747604888619876,26
68,1747604888719876,26
69,1747604888819876,26
70,1747604888919876,26
71,1747604889019876,26
72,1747604889119876,26
73,1747604889219876,26
74,1747604889319876,26
75,1747604889419876,26
76,1747604889519876,26
77,1747604889619876,26
78,1747604889719876,26
79,1747604889819876,26
80,1747604889919876,26
81,1747604890019876,26
82,1747604890119876,26
83,1747604890219876,26
84,1747604890319876,26
85,1747604890419876,26
86,1747604890519876,26
87,1747604890619876,26
88,1747604890719876,26
89,1747604890819876,26
90,1747604890919876,26
91,1747604891019876,26
92,1747604891119876,26
93,1747604891219876,26
94,1747604891319876,26
95,1747604891419876,26
96,1747604891519876,26
97,1747604891619876,26
98,1747604891719876,26
99,1747604891819876,26
100,1747604891919876,26
101,1747604892019876,26
102,1747604892119876,26
103,1747604892219876,26
104,1747604892319876,26
105,1747604892419876,26
106,1747604892519876,26
107,1747604892619876,26
108,1747604892719876,26
109,1747604892819876,26
110,1747604892919876,26
111,1747604893019876,26
112,1747604893119876,26
113,1747604893219876,26
114,1747604893319876,26
115,1747604893419876,26
116,1747604893519876,26
117,1747604893619876,26
118,1747604893719876,26
119,1747604893819876,26
120,1747604893919876,26
121,1747604894019876,26
122,1747604894119876,26
123,1747604894219876,26
124,1747604894319876,26
125,1747604894419876,26
126,1747604894519876,26
127,1747604894619876,26
128,1747604894719876,26
129,1747604894819876,26
130,1747604894919876,26
131,1747604895019876,26
132,1747604895119876,26
133,1747604895219876,26
134,1747604895319876,26
135,1747604895419876,26
136,1747604895519876,26
137,1747604895619876,26
138,1747604895719876,26
139,1747604895819876,26
140,1747604895919876,26
141,1747604896019876,26
142,1747604896119876,26
143,1747604896219876,26
144,1747604896319876,26
145,1747604896419876,26
146,1747604896519876,26
147,1747604896619876,26
148,1747604896719876,26
149,1747604896819876,26
150,1747604896919876,26
151,1747604897019876,26
152,1747604897119876,26
153,1747604897219876,26
154,1747604897319876,26
155,1747604897419876,26
156,1747604897519876,26
157,1747604897619876,26
158,1747604897719876,26
159,1747604897819876,26
160,1747604897919876,26
161,1747604898019876,26
162,1747604898119876,26
163,1747604898219876,26
164,1747604898319876,26
165,1747604898419876,26
166,1747604898519876,26
167,1747604898619876,26
168,1747604898719876,26
169,1747604898819876,26
170,1747604898919876,26
