trial,sent_us,recv_us,latency_us
0,1747604881919904,1747604881925323,5419
1,1747604882019877,1747604882025803,5926
2,1747604882119876,1747604882125027,5151
3,1747604882219876,1747604882225222,5346
4,1747604882319876,1747604882325519,5643
5,1747604882419876,1747604882425222,5346
6,1747604882519876,1747604882525266,5390
7,1747604882619876,1747604882625692,5816
8,1747604882719876,1747604882725452,5576
9,1747604882819876,1747604882825231,5355
10,1747604882919876,1747604882925516,5640
11,1747604883019876,1747604883025316,5440
12,1747604883119876,1747604883125517,5641
13,1747604883219876,1747604883225315,5439
14,1747604883319876,1747604883325241,5365
15,1747604883419876,1747604883425360,5484
16,1747604883519876,1747604883525515,5639
17,1747604883619876,1747604883625392,5516
18,1747604883719876,1747604883726390,6514
19,1747604883819876,1747604883825515,5639
20,1747604883919876,1747604883925170,5294
21,1747604884019876,1747604884024908,5032
22,1747604884119876,1747604884125410,5534
23,1747604884219876,1747604884225114,5238
24,1747604884319876,1747604884325330,5454
25,1747604884419876,1747604884425672,5796
26,1747604884519876,1747604884525871,5995
27,1747604884619876,1747604884625141,5265
28,1747604884719876,1747604884725446,5570
29,1747604884819876,1747604884825672,5796
30,1747604884919876,1747604884925722,5846
31,1747604885019876,1747604885025460,5584
32,1747604885119876,1747604885125471,5595
33,1747604885219876,1747604885225122,5246
34,1747604885319876,1747604885325466,5590
35,1747604885419876,1747604885425828,5952
36,1747604885519876,1747604885525354,5478
37,1747604885619876,1747604885625320,5444
38,1747604885719876,1747604885725479,5603
39,1747604885819876,1747604885825424,5548
40,1747604885919876,1747604885925198,5322
41,1747604886019876,1747604886025265,5389
42,1747604886119876,1747604886125343,5467
43,1747604886219876,1747604886225165,5289
44,1747604886319876,1747604886325365,5489
45,1747604886419876,1747604886425492,5616
46,1747604886519876,1747604886525999,6123
47,1747604886619876,1747604886625681,5805
48,1747604886719876,1747604886725074,5198
49,1747604886819876,1747604886825630,5754
50,1747604886919876,1747604886925511,5635
51,1747604887019876,1747604887025591,5715
