trial,local_us,latency
0,1747603395179901,11410
1,1747603395279873,11117
2,1747603395379873,11290
3,1747603395479873,11460
4,1747603395579873,11241
5,1747603395679873,11274
6,1747603395779873,11145
7,1747603395879873,11419
8,1747603395979873,11210
9,1747603396079873,11145
10,1747603396179873,11473
11,1747603396279873,11289
12,1747603396379873,10826
13,1747603396479873,12644
14,1747603396579873,10993
15,1747603396679873,11366
16,1747603396779873,11242
17,1747603396879873,11461
18,1747603396979873,11421
19,1747603397079873,11971
20,1747603397179873,11352
21,1747603397279873,11586
22,1747603397379873,11135
23,1747603397479873,10987
24,1747603397579873,11428
25,1747603397679873,12902
26,1747603397779873,11322
27,1747603397879873,11211
28,1747603397979873,10931
29,1747603398079873,11104
30,1747603398179873,11427
31,1747603398279873,11684
32,1747603398379873,12735
33,1747603398479873,11412
34,1747603398579873,12542
35,1747603398679873,8513
36,1747603398779873,13122
37,1747603398879873,11252
38,1747603398979873,11006
39,1747603399079873,8286
40,1747603399179873,11337
41,1747603399279873,11004
42,1747603399379873,12901
43,1747603399479873,11488
44,1747603399579873,11357
45,1747603399679873,11189
46,1747603399779873,11203
47,1747603399879873,11223
48,1747603399979873,11912
49,1747603400079873,13249
50,1747603400179873,13215
51,1747603400279873,11128
52,1747603400379873,7757
53,1747603400479873,11369
54,1747603400579873,13118
55,1747603400679873,10983
56,1747603400779873,11542
57,1747603400879873,11036
58,1747603400979873,11134
59,1747603401079873,11253
60,1747603401179873,11113
61,1747603401279873,11448
62,1747603401379873,11081
63,1747603401479873,10855
64,1747603401579873,11294
65,1747603401679873,11048
66,1747603401779873,11490
67,1747603401879873,11451
68,1747603401979873,11930
69,1747603402079873,11323
70,1747603402179873,11651
71,1747603402279873,12140
72,1747603402379873,11323
73,1747603402479873,11650
74,1747603402579873,10975
75,1747603402679873,10797
76,1747603402779873,12014
77,1747603402879873,10742
78,1747603402979873,10937
79,1747603403079873,12126
80,1747603403179873,14558
81,1747603403279873,10816
82,1747603403379873,12587
83,1747603403479873,10980
84,1747603403579873,10913
85,1747603403679873,12522
86,1747603403779873,13031
87,1747603403879873,11437
88,1747603403979873,11627
89,1747603404079873,10852
90,1747603404179873,10853
91,1747603404279873,7542
92,1747603404379873,10802
93,1747603404479873,10715
94,1747603404579873,10942
95,1747603404679873,14859
96,1747603404779873,11402
97,1747603404879873,11239
98,1747603404979873,10805
99,1747603405079873,12632
100,1747603405179873,10811
101,1747603405279873,10845
102,1747603405379873,10860
103,1747603405479873,11301
104,1747603405579873,10827
105,1747603405679873,11510
106,1747603405779873,10832
107,1747603405879873,10816
108,1747603405979873,12646
109,1747603406079873,11355
110,1747603406179873,11707
111,1747603406279873,11052
112,1747603406379873,10924
113,1747603406479873,7763
114,1747603406579873,11350
115,1747603406679873,11767
116,1747603406779873,11283
117,1747603406879873,10981
118,1747603406979873,10854
119,1747603407079873,10852
120,1747603407179873,11335
121,1747603407279873,11036
122,1747603407379873,10810
123,1747603407479873,10777
124,1747603407579873,10788
125,1747603407679873,12128
126,1747603407779873,11384
127,1747603407879873,13088
128,1747603407979873,11013
129,1747603408079873,12548
130,1747603408179873,12645
131,1747603408279873,10896
132,1747603408379873,10878
133,1747603408479873,11050
134,1747603408579873,11297
135,1747603408679873,11491
136,1747603408779873,11131
137,1747603408879873,12933
138,1747603408979873,11320
139,1747603409079873,11436
140,1747603409179873,11357
141,1747603409279873,11368
142,1747603409379873,11751
143,1747603409479873,11746
144,1747603409579873,11336
145,1747603409679873,11710
146,1747603409779873,11465
147,1747603409879873,11433
148,1747603409979873,11659
149,1747603410079873,11336
150,1747603410179873,11433
151,1747603410279873,10964
152,1747603410379873,11627
