trial,sent_us,recv_us,latency_us
0,1747601161197723,1747601161204529,6806
1,1747601161297695,1747601161302799,5104
2,1747601161397695,1747601161404560,6865
3,1747601161497695,1747601161504981,7286
4,1747601161597695,1747601161604886,7191
5,1747601161697695,1747601161704586,6891
6,1747601161797695,1747601161804685,6990
7,1747601161897695,1747601161904558,6863
8,1747601161997695,1747601162005175,7480
9,1747601162097695,1747601162104816,7121
10,1747601162197695,1747601162204442,6747
11,1747601162297695,1747601162304325,6630
12,1747601162397695,1747601162404982,7287
13,1747601162497695,1747601162504533,6838
14,1747601162597695,1747601162604738,7043
15,1747601162697695,1747601162703261,5566
16,1747601162797695,1747601162804600,6905
17,1747601162897695,1747601162904904,7209
18,1747601162997695,1747601163004585,6890
19,1747601163097695,1747601163103262,5567
20,1747601163197695,1747601163204717,7022
21,1747601163297695,1747601163304397,6702
22,1747601163397695,1747601163404769,7074
23,1747601163497695,1747601163503151,5456
24,1747601163597695,1747601163604458,6763
25,1747601163697695,1747601163705691,7996
26,1747601163797695,1747601163804666,6971
27,1747601163897695,1747601163904402,6707
28,1747601163997695,1747601164002909,5214
29,1747601164097695,1747601164104455,6760
30,1747601164197695,1747601164205352,7657
31,1747601164297695,1747601164304509,6814
32,1747601164397695,1747601164406188,8493
33,1747601164497695,1747601164504624,6929
34,1747601164597695,1747601164604672,6977
35,1747601164697695,1747601164705004,7309
36,1747601164797695,1747601164804667,6972
37,1747601164897695,1747601164905358,7663
38,1747601164997695,1747601165005188,7493
39,1747601165097695,1747601165103255,5560
40,1747601165197695,1747601165205967,8272
41,1747601165297695,1747601165304421,6726
42,1747601165397695,1747601165405191,7496
43,1747601165497695,1747601165504220,6525
44,1747601165597695,1747601165604518,6823
45,1747601165697695,1747601165704613,6918
46,1747601165797695,1747601165804716,7021
47,1747601165897695,1747601165903187,5492
48,1747601165997695,1747601166004511,6816
49,1747601166097695,1747601166105198,7503
50,1747601166197695,1747601166204605,6910
51,1747601166297695,1747601166304409,6714
52,1747601166397695,1747601166404627,6932
53,1747601166497695,1747601166504575,6880
54,1747601166597695,1747601166604512,6817
55,1747601166697695,1747601166703129,5434
56,1747601166797695,1747601166804743,7048
57,1747601166897695,1747601166904737,7042
58,1747601166997695,1747601167002998,5303
59,1747601167097695,1747601167104638,6943
60,1747601167197695,1747601167204444,6749
61,1747601167297695,1747601167304897,7202
62,1747601167397695,1747601167404431,6736
63,1747601167497695,1747601167504592,6897
64,1747601167597695,1747601167604763,7068
65,1747601167697695,1747601167704991,7296
66,1747601167797695,1747601167804420,6725
67,1747601167897695,1747601167905305,7610
68,1747601167997695,1747601168005080,7385
69,1747601168097695,1747601168105540,7845
70,1747601168197695,1747601168204725,7030
71,1747601168297695,1747601168304597,6902
72,1747601168397695,1747601168404574,6879
73,1747601168497695,1747601168504604,6909
74,1747601168597695,1747601168605814,8119
75,1747601168697695,1747601168704432,6737
76,1747601168797695,1747601168805049,7354
77,1747601168897695,1747601168904374,6679
78,1747601168997695,1747601169003024,5329
79,1747601169097695,1747601169105361,7666
80,1747601169197695,1747601169205681,7986
