trial,local_us,latency
0,1747605978722860,152
1,1747605978723029,30
2,1747605978723073,25
3,1747605978723111,25
4,1747605978723150,10234
5,1747605978733398,27
6,1747605978733438,27
7,1747605978733479,26
8,1747605978733517,25
9,1747605978733556,10245
10,1747605978743815,25
11,1747605978743853,26
12,1747605978743892,25
13,1747605978743931,10199
14,1747605978754143,25
15,1747605978754182,25
16,1747605978754221,26
17,1747605978754259,25
18,1747605978754298,10250
19,1747605978764561,26
20,1747605978764600,25
21,1747605978764639,25
22,1747605978764677,10200
23,1747605978774890,25
24,1747605978774929,25
25,1747605978774968,26
26,1747605978775007,10200
27,1747605978785219,25
28,1747605978785258,25
29,1747605978785297,26
30,1747605978785335,25
31,1747605978785374,10250
32,1747605978795637,25
33,1747605978795676,25
34,1747605978795715,26
35,1747605978795753,10199
36,1747605978805966,25
37,1747605978806005,26
38,1747605978806043,25
39,1747605978806082,25
40,1747605978806121,10251
41,1747605978816384,25
42,1747605978816423,25
43,1747605978816461,25
44,1747605978816500,10199
45,1747605978826713,26
46,1747605978826751,25
47,1747605978826790,25
48,1747605978826829,10200
49,1747605978837041,26
50,1747605978837080,25
51,1747605978837119,26
52,1747605978837157,25
53,1747605978837196,10250
54,1747605978847459,26
55,1747605978847498,25
56,1747605978847537,25
57,1747605978847575,10200
58,1747605978857788,25
59,1747605978857827,25
60,1747605978857865,26
61,1747605978857904,25
62,1747605978857943,10250
63,1747605978868206,25
64,1747605978868245,25
65,1747605978868283,26
66,1747605978868322,10199
67,1747605978878535,25
68,1747605978878573,26
69,1747605978878612,25
70,1747605978878651,10203
71,1747605978888868,25
72,1747605978888907,26
73,1747605978888945,25
74,1747605978888984,25
75,1747605978889022,10246
76,1747605978899282,26
77,1747605978899320,25
78,1747605978899359,25
79,1747605978899397,10200
80,1747605978909610,25
81,1747605978909649,25
82,1747605978909687,26
83,1747605978909726,25
84,1747605978909765,10250
85,1747605978920028,25
86,1747605978920067,25
87,1747605978920106,26
88,1747605978920144,10199
89,1747605978930357,25
90,1747605978930396,26
91,1747605978930434,25
92,1747605978930473,25
93,1747605978930511,10250
94,1747605978940775,25
95,1747605978940814,33
96,1747605978940860,26
97,1747605978940898,10192
98,1747605978951104,26
99,1747605978951142,25
100,1747605978951181,25
101,1747605978951220,10200
102,1747605978961432,25
103,1747605978961471,25
104,1747605978961510,26
105,1747605978961548,25
106,1747605978961587,10250
107,1747605978971850,26
108,1747605978971889,25
109,1747605978971928,25
110,1747605978971967,10200
111,1747605978982179,25
112,1747605978982218,25
113,1747605978982257,25
114,1747605978982295,26
115,1747605978982334,10250
116,1747605978992597,26
117,1747605978992636,25
118,1747605978992675,25
119,1747605978992714,10200
120,1747605979002926,25
121,1747605979002965,25
122,1747605979003004,26
123,1747605979003042,10199
124,1747605979013255,25
125,1747605979013294,26
126,1747605979013332,26
127,1747605979013371,25
128,1747605979013410,10250
129,1747605979023673,25
130,1747605979023712,25
131,1747605979023751,26
132,1747605979023789,10199
133,1747605979034002,25
134,1747605979034041,26
135,1747605979034079,25
136,1747605979034118,25
137,1747605979034156,10250
138,1747605979044420,25
139,1747605979044459,26
140,1747605979044497,25
141,1747605979044536,10199
142,1747605979054749,26
143,1747605979054787,25
144,1747605979054826,32
145,1747605979054872,10192
146,1747605979065077,25
147,1747605979065116,25
148,1747605979065155,26
149,1747605979065193,25
150,1747605979065232,10250
151,1747605979075495,25
152,1747605979075534,25
153,1747605979075573,26
154,1747605979075611,10199
155,1747605979085824,25
156,1747605979085863,26
157,1747605979085901,25
158,1747605979085940,25
159,1747605979085979,10251
160,1747605979096242,25
161,1747605979096281,25
162,1747605979096319,25
163,1747605979096358,10199
164,1747605979106571,25
165,1747605979106609,26
166,1747605979106648,25
167,1747605979106687,10199
168,1747605979116899,26
169,1747605979116938,25
170,1747605979116977,25
171,1747605979117015,25
172,1747605979117054,10250
173,1747605979127318,26
174,1747605979127356,25
175,1747605979127395,25
176,1747605979127433,10200
177,1747605979137646,25
178,1747605979137685,25
179,1747605979137724,26
180,1747605979137762,25
181,1747605979137801,10250
182,1747605979148064,25
183,1747605979148103,25
184,1747605979148142,26
185,1747605979148180,10199
186,1747605979158393,25
187,1747605979158432,26
188,1747605979158470,25
189,1747605979158509,25
190,1747605979158548,10250
191,1747605979168811,32
192,1747605979168857,25
193,1747605979168896,26
194,1747605979168934,10192
195,1747605979179140,26
196,1747605979179178,25
197,1747605979179217,25
198,1747605979179256,10200
199,1747605979189468,25
200,1747605979189507,25
201,1747605979189546,26
202,1747605979189584,25
203,1747605979189623,10250
204,1747605979199886,25
205,1747605979199925,25
206,1747605979199964,26
207,1747605979200002,10199
208,1747605979210215,25
209,1747605979210254,26
210,1747605979210292,25
211,1747605979210331,25
212,1747605979210370,10251
213,1747605979220633,25
214,1747605979220672,25
215,1747605979220710,25
216,1747605979220749,10199
217,1747605979230962,25
218,1747605979231000,25
219,1747605979231039,25
220,1747605979231078,26
221,1747605979231116,10250
222,1747605979241380,25
223,1747605979241418,26
224,1747605979241457,25
225,1747605979241496,10199
226,1747605979251708,26
227,1747605979251747,25
228,1747605979251786,25
229,1747605979251824,10200
230,1747605979262037,25
231,1747605979262076,25
232,1747605979262114,26
233,1747605979262153,25
