trial,sent_us,recv_us,latency_us
0,1747605978722860,1747605978730494,7634
1,1747605978723029,1747605978730867,7838
2,1747605978723073,1747605978735285,12212
3,1747605978723111,1747605978735622,12511
4,1747605978723150,1747605978740671,17521
5,1747605978733398,1747605978741070,7672
6,1747605978733438,1747605978741350,7912
7,1747605978733479,1747605978746440,12961
8,1747605978733517,1747605978746818,13301
9,1747605978733556,1747605978751900,18344
10,1747605978743815,1747605978752346,8531
11,1747605978743853,1747605978757313,13460
12,1747605978743892,1747605978757710,13818
13,1747605978743931,1747605978758022,14091
14,1747605978754143,1747605978763184,9041
15,1747605978754182,1747605978763591,9409
16,1747605978754221,1747605978768619,14398
17,1747605978754259,1747605978769025,14766
18,1747605978754298,1747605978773902,19604
19,1747605978764561,1747605978774338,9777
20,1747605978764600,1747605978774633,10033
21,1747605978764639,1747605978779960,15321
22,1747605978764677,1747605978780351,15674
23,1747605978774890,1747605978785262,10372
24,1747605978774929,1747605978785649,10720
25,1747605978774968,1747605978790581,15613
26,1747605978775007,1747605978790917,15910
27,1747605978785219,1747605978791234,6015
28,1747605978785258,1747605978796061,10803
29,1747605978785297,1747605978796398,11101
30,1747605978785335,1747605978801437,16102
31,1747605978785374,1747605978801774,16400
32,1747605978795637,1747605978807039,11402
33,1747605978795676,1747605978807376,11700
34,1747605978795715,1747605978807658,11943
35,1747605978795753,1747605978812761,17008
36,1747605978805966,1747605978813136,7170
37,1747605978806005,1747605978818094,12089
38,1747605978806043,1747605978818245,12202
39,1747605978806082,1747605978818498,12416
40,1747605978806121,1747605978823681,17560
41,1747605978816384,1747605978824044,7660
42,1747605978816423,1747605978829355,12932
43,1747605978816461,1747605978829679,13218
44,1747605978816500,1747605978834836,18336
45,1747605978826713,1747605978835191,8478
46,1747605978826751,1747605978835470,8719
47,1747605978826790,1747605978840144,13354
48,1747605978826829,1747605978840465,13636
49,1747605978837041,1747605978846257,9216
50,1747605978837080,1747605978846589,9509
51,1747605978837119,1747605978851291,14172
52,1747605978837157,1747605978851444,14287
53,1747605978837196,1747605978851575,14379
54,1747605978847459,1747605978856831,9372
55,1747605978847498,1747605978857194,9696
56,1747605978847537,1747605978862573,15036
57,1747605978847575,1747605978862893,15318
58,1747605978857788,1747605978863209,5421
59,1747605978857827,1747605978868057,10230
60,1747605978857865,1747605978868399,10534
61,1747605978857904,1747605978873479,15575
62,1747605978857943,1747605978873807,15864
63,1747605978868206,1747605978879364,11158
64,1747605978868245,1747605978879683,11438
65,1747605978868283,1747605978879989,11706
66,1747605978868322,1747605978885166,16844
67,1747605978878535,1747605978885522,6987
68,1747605978878573,1747605978890362,11789
69,1747605978878612,1747605978890699,12087
70,1747605978878651,1747605978895884,17233
71,1747605978888868,1747605978896256,7388
72,1747605978888907,1747605978896553,7646
73,1747605978888945,1747605978901536,12591
74,1747605978888984,1747605978901861,12877
75,1747605978889022,1747605978907052,18030
76,1747605978899282,1747605978907381,8099
77,1747605978899320,1747605978907660,8340
78,1747605978899359,1747605978912716,13357
79,1747605978899397,1747605978913073,13676
80,1747605978909610,1747605978918061,8451
81,1747605978909649,1747605978918394,8745
82,1747605978909687,1747605978923721,14034
83,1747605978909726,1747605978924081,14355
84,1747605978909765,1747605978924371,14606
85,1747605978920028,1747605978929536,9508
86,1747605978920067,1747605978929874,9807
87,1747605978920106,1747605978934684,14578
88,1747605978920144,1747605978934842,14698
89,1747605978930357,1747605978940144,9787
90,1747605978930396,1747605978940467,10071
91,1747605978930434,1747605978940703,10269
92,1747605978930473,1747605978946028,15555
93,1747605978930511,1747605978946353,15842
94,1747605978940775,1747605978951374,10599
95,1747605978940814,1747605978951704,10890
96,1747605978940860,1747605978956809,15949
97,1747605978940898,1747605978957169,16271
98,1747605978951104,1747605978957464,6360
99,1747605978951142,1747605978962553,11411
100,1747605978951181,1747605978962898,11717
101,1747605978951220,1747605978968050,16830
102,1747605978961432,1747605978968378,6946
103,1747605978961471,1747605978968656,7185
104,1747605978961510,1747605978973552,12042
105,1747605978961548,1747605978973897,12349
106,1747605978961587,1747605978979172,17585
107,1747605978971850,1747605978979328,7478
108,1747605978971889,1747605978984607,12718
109,1747605978971928,1747605978984992,13064
110,1747605978971967,1747605978985157,13190
111,1747605978982179,1747605978990119,7940
112,1747605978982218,1747605978990448,8230
113,1747605978982257,1747605978995831,13574
114,1747605978982295,1747605978996182,13887
115,1747605978982334,1747605979001244,18910
116,1747605978992597,1747605979001402,8805
117,1747605978992636,1747605979001536,8900
118,1747605978992675,1747605979006741,14066
119,1747605978992714,1747605979007085,14371
120,1747605979002926,1747605979012449,9523
121,1747605979002965,1747605979012778,9813
122,1747605979003004,1747605979017845,14841
123,1747605979003042,1747605979018153,15111
124,1747605979013255,1747605979018478,5223
125,1747605979013294,1747605979023400,10106
126,1747605979013332,1747605979023714,10382
127,1747605979013371,1747605979029343,15972
128,1747605979013410,1747605979029600,16190
129,1747605979023673,1747605979034520,10847
130,1747605979023712,1747605979034720,11008
131,1747605979023751,1747605979034908,11157
132,1747605979023789,1747605979040291,16502
133,1747605979034002,1747605979040472,6470
134,1747605979034041,1747605979046102,12061
135,1747605979034079,1747605979046399,12320
136,1747605979034118,1747605979051250,17132
137,1747605979034156,1747605979051446,17290
138,1747605979044420,1747605979051622,7202
139,1747605979044459,1747605979056761,12302
140,1747605979044497,1747605979057095,12598
141,1747605979044536,1747605979062466,17930
142,1747605979054749,1747605979062796,8047
143,1747605979054787,1747605979063109,8322
144,1747605979054826,1747605979067889,13063
145,1747605979054872,1747605979068227,13355
146,1747605979065077,1747605979073546,8469
147,1747605979065116,1747605979073837,8721
148,1747605979065155,1747605979079352,14197
149,1747605979065193,1747605979079739,14546
150,1747605979065232,1747605979080055,14823
151,1747605979075495,1747605979084539,9044
152,1747605979075534,1747605979084828,9294
153,1747605979075573,1747605979090005,14432
154,1747605979075611,1747605979090196,14585
155,1747605979085824,1747605979095716,9892
156,1747605979085863,1747605979095905,10042
157,1747605979085901,1747605979096084,10183
158,1747605979085940,1747605979101339,15399
159,1747605979085979,1747605979101532,15553
160,1747605979096242,1747605979106738,10496
161,1747605979096281,1747605979106888,10607
162,1747605979096319,1747605979107043,10724
163,1747605979096358,1747605979112525,16167
164,1747605979106571,1747605979112717,6146
165,1747605979106609,1747605979118106,11497
166,1747605979106648,1747605979118297,11649
167,1747605979106687,1747605979123435,16748
168,1747605979116899,1747605979123644,6745
169,1747605979116938,1747605979123811,6873
170,1747605979116977,1747605979129250,12273
171,1747605979117015,1747605979129403,12388
172,1747605979117054,1747605979134699,17645
173,1747605979127318,1747605979134892,7574
174,1747605979127356,1747605979140150,12794
175,1747605979127395,1747605979140372,12977
176,1747605979127433,1747605979140537,13104
177,1747605979137646,1747605979146027,8381
178,1747605979137685,1747605979146230,8545
179,1747605979137724,1747605979152022,14298
180,1747605979137762,1747605979152243,14481
181,1747605979137801,1747605979157075,19274
