trial,local_us,latency
0,1747604547571776,11073
1,1747604547582866,22980
2,1747604547605859,22463
3,1747604547628336,17353
4,1747604547645703,12593
5,1747604547658309,14887
6,1747604547673210,16746
7,1747604547689970,17186
8,1747604547707170,21968
9,1747604547729152,21916
10,1747604547751081,19406
11,1747604547770501,10643
12,1747604547781157,28123
13,1747604547809293,10547
14,1747604547819854,11097
15,1747604547830965,16687
16,1747604547847664,22309
17,1747604547869987,18348
18,1747604547888347,10306
19,1747604547898667,17229
20,1747604547915909,21618
21,1747604547937541,12419
22,1747604547949972,11254
23,1747604547961239,11099
24,1747604547972351,15558
25,1747604547987923,16768
26,1747604548004705,26868
27,1747604548031587,17437
28,1747604548049038,17035
29,1747604548066087,16248
30,1747604548082349,16675
31,1747604548099038,17889
32,1747604548116940,15443
33,1747604548132396,17767
34,1747604548150177,23659
35,1747604548173849,9855
36,1747604548183718,10924
37,1747604548194654,11179
38,1747604548205846,21916
39,1747604548227776,22685
40,1747604548250474,16323
41,1747604548266810,16568
42,1747604548283392,23281
43,1747604548306686,21883
44,1747604548328582,16822
45,1747604548345418,28243
46,1747604548373675,20558
47,1747604548394247,25192
48,1747604548419453,15112
49,1747604548434578,23028
50,1747604548457620,22928
51,1747604548480561,17046
52,1747604548497621,11202
53,1747604548508836,13582
54,1747604548522432,15559
55,1747604548538004,16779
56,1747604548554797,16560
57,1747604548571370,16679
58,1747604548588063,17225
59,1747604548605302,31006
60,1747604548636321,13364
61,1747604548649699,15406
62,1747604548665118,19100
63,1747604548684232,21053
64,1747604548705299,16677
65,1747604548721989,20978
66,1747604548742981,12337
67,1747604548755331,12770
68,1747604548768113,11404
69,1747604548779531,15329
70,1747604548794873,12390
71,1747604548807276,10612
72,1747604548817902,11466
73,1747604548829382,32885
74,1747604548862280,18192
75,1747604548880485,16940
76,1747604548897439,15475
77,1747604548912927,20489
78,1747604548933429,18291
79,1747604548951734,18394
80,1747604548970142,23864
81,1747604548994019,22103
82,1747604549016136,22485
83,1747604549038634,21894
84,1747604549060541,16578
85,1747604549077132,30816
86,1747604549107961,19140
87,1747604549127115,16745
88,1747604549143873,20557
89,1747604549164443,23769
90,1747604549188226,16739
91,1747604549204978,16584
92,1747604549221575,16452
93,1747604549238041,17836
94,1747604549255890,22084
95,1747604549277987,22158
96,1747604549300158,22223
97,1747604549322394,22186
98,1747604549344594,17082
99,1747604549361688,21976
100,1747604549383678,22347
101,1747604549406039,19448
102,1747604549425500,19402
103,1747604549444915,19489
104,1747604549464417,18644
105,1747604549483075,23837
106,1747604549506924,21046
107,1747604549527984,22903
108,1747604549550900,20028
109,1747604549570942,17817
110,1747604549588772,17990
111,1747604549606775,16114
112,1747604549622903,23281
113,1747604549646197,12404
114,1747604549658614,17013
115,1747604549675641,15958
116,1747604549691611,22861
117,1747604549714486,16409
118,1747604549730908,22432
119,1747604549753354,17042
120,1747604549770410,16634
121,1747604549787058,21826
122,1747604549808897,23050
123,1747604549831961,12061
124,1747604549844036,16534
125,1747604549860582,21264
126,1747604549881860,23157
127,1747604549905030,16561
128,1747604549921603,11605
129,1747604549933221,16238
130,1747604549949473,15685
131,1747604549965172,32466
132,1747604549997652,12471
133,1747604550010137,16105
134,1747604550026255,16742
135,1747604550043010,11991
136,1747604550055014,17350
137,1747604550072378,22581
138,1747604550094972,21818
