trial,sent_us,recv_us,latency_us
0,1747604547571776,1747604547579026,7250
1,1747604547582866,1747604547595177,12311
2,1747604547605859,1747604547624424,18565
3,1747604547628336,1747604547636242,7906
4,1747604547645703,1747604547652904,7201
5,1747604547658309,1747604547669279,10970
6,1747604547673210,1747604547685860,12650
7,1747604547689970,1747604547703215,13245
8,1747604547707170,1747604547725243,18073
9,1747604547729152,1747604547741403,12251
10,1747604547751081,1747604547764445,13364
11,1747604547770501,1747604547777278,6777
12,1747604547781157,1747604547793628,12471
13,1747604547809293,1747604547816167,6874
14,1747604547819854,1747604547826820,6966
15,1747604547830965,1747604547843636,12671
16,1747604547847664,1747604547860052,12388
17,1747604547869987,1747604547882407,12420
18,1747604547888347,1747604547894535,6188
19,1747604547898667,1747604547912022,13355
20,1747604547915909,1747604547933493,17584
21,1747604547937541,1747604547944573,7032
22,1747604547949972,1747604547955658,5686
23,1747604547961239,1747604547967038,5799
24,1747604547972351,1747604547983735,11384
25,1747604547987923,1747604548000495,12572
26,1747604548004705,1747604548017255,12550
27,1747604548031587,1747604548040203,8616
28,1747604548049038,1747604548061609,12571
29,1747604548066087,1747604548078281,12194
30,1747604548082349,1747604548094821,12472
31,1747604548099038,1747604548112322,13284
32,1747604548116940,1747604548128399,11459
33,1747604548132396,1747604548144968,12572
34,1747604548150177,1747604548161855,11678
35,1747604548173849,1747604548178500,4651
36,1747604548183718,1747604548189181,5463
37,1747604548194654,1747604548200363,5709
38,1747604548205846,1747604548217232,11386
39,1747604548227776,1747604548245110,17334
40,1747604548250474,1747604548262539,12065
41,1747604548266810,1747604548279263,12453
42,1747604548283392,1747604548295798,12406
43,1747604548306686,1747604548324565,17879
44,1747604548328582,1747604548341628,13046
45,1747604548345418,1747604548363547,18129
46,1747604548373675,1747604548386126,12451
47,1747604548394247,1747604548408394,14147
48,1747604548419453,1747604548430541,11088
49,1747604548434578,1747604548447265,12687
50,1747604548457620,1747604548476571,18951
51,1747604548480561,1747604548493240,12679
52,1747604548497621,1747604548504436,6815
53,1747604548508836,1747604548516606,7770
54,1747604548522432,1747604548528333,5901
55,1747604548538004,1747604548545044,7040
56,1747604548554797,1747604548567434,12637
57,1747604548571370,1747604548584153,12783
58,1747604548588063,1747604548597548,9485
59,1747604548605302,1747604548617828,12526
60,1747604548636321,1747604548645663,9342
61,1747604548649699,1747604548656962,7263
62,1747604548665118,1747604548673545,8427
63,1747604548684232,1747604548695838,11606
64,1747604548705299,1747604548717726,12427
65,1747604548721989,1747604548735596,13607
66,1747604548742981,1747604548751243,8262
67,1747604548755331,1747604548762762,7431
68,1747604548768113,1747604548773972,5859
69,1747604548779531,1747604548785094,5563
70,1747604548794873,1747604548801908,7035
71,1747604548807276,1747604548813634,6358
72,1747604548817902,1747604548825321,7419
73,1747604548829382,1747604548842242,12860
74,1747604548862280,1747604548869839,7559
75,1747604548880485,1747604548892093,11608
76,1747604548897439,1747604548903036,5597
77,1747604548912927,1747604548925338,12411
78,1747604548933429,1747604548947795,14366
79,1747604548951734,1747604548960256,8522
80,1747604548970142,1747604548988154,18012
81,1747604548994019,1747604549005571,11552
82,1747604549016136,1747604549027784,11648
83,1747604549038634,1747604549056421,17787
84,1747604549060541,1747604549073143,12602
85,1747604549077132,1747604549089970,12838
