trial,local_us,latency
0,1747595097928084,1013
1,1747595098028087,885
2,1747595098128088,545
3,1747595098228089,848
4,1747595098328084,744
5,1747595098428085,796
6,1747595098528082,734
7,1747595098628085,794
8,1747595098728088,809
9,1747595098828085,855
10,1747595098928092,1057
11,1747595099028085,815
12,1747595099128085,497
13,1747595099228089,629
14,1747595099328084,767
15,1747595099428083,797
16,1747595099528084,749
17,1747595099628083,781
18,1747595099728084,726
19,1747595099828093,1126
20,1747595099928081,743
21,1747595100028087,828
22,1747595100128085,518
23,1747595100228093,1062
24,1747595100328084,848
25,1747595100428083,771
26,1747595100528084,743
27,1747595100628083,785
28,1747595100728084,719
29,1747595100828085,577
30,1747595100928082,778
31,1747595101028083,782
32,1747595101128092,599
33,1747595101228089,578
34,1747595101328084,721
35,1747595101428090,1049
36,1747595101528085,807
37,1747595101628086,796
38,1747595101728084,782
39,1747595101828086,805
40,1747595101928085,866
41,1747595102028082,716
42,1747595102128091,854
43,1747595102228088,576
44,1747595102328087,800
45,1747595102428079,720
46,1747595102528094,1073
47,1747595102628086,839
48,1747595102728087,794
49,1747595102828082,712
50,1747595102928086,884
51,1747595103028082,735
52,1747595103128090,836
53,1747595103228088,790
54,1747595103328086,786
55,1747595103428086,818
56,1747595103528087,790
57,1747595103628079,709
58,1747595103728088,568
59,1747595103828085,1009
60,1747595103928091,959
61,1747595104028082,800
62,1747595104128090,856
63,1747595104228082,744
64,1747595104328086,804
65,1747595104428085,478
66,1747595104528087,830
67,1747595104628079,740
68,1747595104728088,602
69,1747595104828079,733
70,1747595104928083,492
71,1747595105028079,771
72,1747595105128091,1073
73,1747595105228086,796
74,1747595105328090,730
75,1747595105428086,815
76,1747595105528085,561
77,1747595105628084,730
78,1747595105728082,714
79,1747595105828085,789
80,1747595105928086,803
81,1747595106028086,874
82,1747595106128086,822
83,1747595106228093,836
84,1747595106328084,800
85,1747595106428086,784
86,1747595106528079,705
87,1747595106628093,1062
88,1747595106728086,798
89,1747595106828086,786
90,1747595106928086,522
91,1747595107028087,787
92,1747595107128085,832
93,1747595107228090,841
94,1747595107328082,715
95,1747595107428089,829
96,1747595107528082,788
97,1747595107628088,834
98,1747595107728092,1068
99,1747595107828087,804
100,1747595107928079,710
101,1747595108028085,788
102,1747595108128086,854
103,1747595108228090,880
104,1747595108328079,708
105,1747595108428085,787
106,1747595108528082,720
107,1747595108628085,757
108,1747595108728082,756
109,1747595108828085,857
110,1747595108928082,719
111,1747595109028092,562
112,1747595109128083,796
113,1747595109228095,1146
114,1747595109328085,507
115,1747595109428087,820
116,1747595109528079,747
117,1747595109628087,794
118,1747595109728079,734
119,1747595109828087,569
120,1747595109928081,575
121,1747595110028084,766
122,1747595110128092,863
123,1747595110228090,815
124,1747595110328086,859
125,1747595110428084,785
126,1747595110528095,1059
127,1747595110628084,808
128,1747595110728088,859
129,1747595110828082,709
130,1747595110928087,792
131,1747595111028082,716
132,1747595111128089,840
133,1747595111228085,455
134,1747595111328089,887
135,1747595111428082,729
136,1747595111528086,776
137,1747595111628090,1033
138,1747595111728087,798
139,1747595111828082,719
140,1747595111928088,845
141,1747595112028082,769
142,1747595112128091,895
143,1747595112228086,823
144,1747595112328085,750
145,1747595112428082,815
146,1747595112528086,801
147,1747595112628079,722
148,1747595112728083,476
149,1747595112828079,385
150,1747595112928088,842
151,1747595113028079,737
152,1747595113128085,514
153,1747595113228088,1060
154,1747595113328087,609
155,1747595113428084,740
156,1747595113528085,805
157,1747595113628084,820
158,1747595113728089,831
159,1747595113828079,718
160,1747595113928087,794
161,1747595114028079,718
162,1747595114128092,595
163,1747595114228085,468
164,1747595114328088,787
165,1747595114428095,1075
166,1747595114528079,816
167,1747595114628081,537
168,1747595114728082,735
169,1747595114828087,790
170,1747595114928086,840
171,1747595115028086,558
172,1747595115128088,850
173,1747595115228087,786
174,1747595115328084,777
175,1747595115428086,788
176,1747595115528090,1076
177,1747595115628087,815
178,1747595115728082,741
179,1747595115828088,857
180,1747595115928079,705
181,1747595116028089,821
182,1747595116128085,764
183,1747595116228088,793
184,1747595116328082,717
185,1747595116428089,830
186,1747595116528079,731
187,1747595116628085,818
188,1747595116728082,734
189,1747595116828094,1088
190,1747595116928079,754
191,1747595117028085,780
192,1747595117128085,765
193,1747595117228087,773
194,1747595117328084,825
195,1747595117428085,774
196,1747595117528082,748
197,1747595117628085,772
198,1747595117728082,815
199,1747595117828094,812
200,1747595117928082,744
201,1747595118028087,794
202,1747595118128089,505
203,1747595118228093,849
204,1747595118328079,733
205,1747595118428082,833
