trial,sent_us,recv_us,latency_us
0,1747595097928084,1747595097943707,15623
1,1747595098028087,1747595098033805,5718
2,1747595098128088,1747595098132364,4276
3,1747595098228089,1747595098246306,18217
4,1747595098328084,1747595098337413,9329
5,1747595098428085,1747595098433722,5637
6,1747595098528082,1747595098543231,15149
7,1747595098628085,1747595098662606,34521
8,1747595098728088,1747595098733474,5386
9,1747595098828085,1747595098835906,7821
10,1747595098928092,1747595098950098,22006
11,1747595099028085,1747595099034737,6652
12,1747595099128085,1747595099132781,4696
13,1747595099228089,1747595099232200,4111
14,1747595099328084,1747595099334833,6749
15,1747595099428083,1747595099438929,10846
16,1747595099528084,1747595099535433,7349
17,1747595099628083,1747595099635078,6995
18,1747595099728084,1747595099733741,5657
19,1747595099828093,1747595099854885,26792
20,1747595099928081,1747595099937321,9240
21,1747595100028087,1747595100032464,4377
22,1747595100128085,1747595100228590,100505
23,1747595100228093,1747595100244850,16757
24,1747595100328084,1747595100332593,4509
25,1747595100428083,1747595100554359,126276
26,1747595100528084,1747595100810161,282077
27,1747595100628083,1747595101237683,609600
28,1747595100728084,1747595101257522,529438
29,1747595100828085,1747595101270720,442635
30,1747595100928082,1747595101297432,369350
31,1747595101028083,1747595101309188,281105
32,1747595101128092,1747595101560547,432455
33,1747595101228089,1747595101560801,332712
34,1747595101328084,1747595101708881,380797
35,1747595101428090,1747595101854422,426332
36,1747595101528085,1747595101855309,327224
37,1747595101628086,1747595101855564,227478
38,1747595101728084,1747595101855725,127641
39,1747595101828086,1747595101953312,125226
40,1747595101928085,1747595101953633,25548
41,1747595102028082,1747595102032245,4163
42,1747595102128091,1747595102149246,21155
43,1747595102228088,1747595102235068,6980
44,1747595102328087,1747595102353791,25704
45,1747595102428079,1747595102431779,3700
46,1747595102528094,1747595102552358,24264
47,1747595102628086,1747595102633791,5705
48,1747595102728087,1747595102816642,88555
49,1747595102828082,1747595102849600,21518
50,1747595102928086,1747595103088959,160873
51,1747595103028082,1747595103089368,61286
52,1747595103128090,1747595103158911,30821
53,1747595103228088,1747595103342294,114206
54,1747595103328086,1747595103342590,14504
55,1747595103428086,1747595103606871,178785
56,1747595103528087,1747595103607160,79073
57,1747595103628079,1747595103639684,11605
58,1747595103728088,1747595103882746,154658
59,1747595103828085,1747595103882950,54865
60,1747595103928091,1747595104132825,204734
61,1747595104028082,1747595104133029,104947
62,1747595104128090,1747595104138788,10698
63,1747595104228082,1747595104396369,168287
64,1747595104328086,1747595104429723,101637
65,1747595104428085,1747595104452625,24540
66,1747595104528087,1747595104657803,129716
67,1747595104628079,1747595104658082,30003
68,1747595104728088,1747595104739743,11655
69,1747595104828079,1747595104965396,137317
70,1747595104928083,1747595104967477,39394
71,1747595105028079,1747595105191187,163108
72,1747595105128091,1747595105191454,63363
73,1747595105228086,1747595105444132,216046
74,1747595105328090,1747595105444460,116370
75,1747595105428086,1747595105444678,16592
76,1747595105528085,1747595105538344,10259
77,1747595105628084,1747595105638164,10080
78,1747595105728082,1747595105737290,9208
79,1747595105828085,1747595105859630,31545
80,1747595105928086,1747595105933502,5416
81,1747595106028086,1747595106040180,12094
82,1747595106128086,1747595106132727,4641
83,1747595106228093,1747595106237761,9668
84,1747595106328084,1747595106345844,17760
