trial,local_us,latency
0,1747593762188920,20333
1,1747593762288909,15537
2,1747593762388910,13334
3,1747593762488911,14122
4,1747593762588902,6753
5,1747593762688928,23819
6,1747593762788912,5859
7,1747593762888916,10208
8,1747593762988903,13302
9,1747593763088917,13022
10,1747593763188909,25057
11,1747593763288903,22408
12,1747593763388919,21152
13,1747593763488905,6342
14,1747593763588917,35182
15,1747593763688919,12920
16,1747593763788909,9972
17,1747593763888910,33468
18,1747593763988912,10226
19,1747593764088915,11928
20,1747593764188912,13114
21,1747593764288921,19562
22,1747593764388914,6219
23,1747593764488918,22030
24,1747593764588922,8962
25,1747593764688917,9633
26,1747593764788908,22876
27,1747593764888923,10714
28,1747593764988917,20107
29,1747593765088917,173405
30,1747593765262353,38584
31,1747593765300954,10763
32,1747593765388917,119829
33,1747593765508778,30327
34,1747593765588915,9343
35,1747593765688907,80508
36,1747593765788909,35956
37,1747593765888898,131651
38,1747593766020565,95575
39,1747593766116157,176245
40,1747593766292419,34020
41,1747593766326456,7108
42,1747593766388915,148746
43,1747593766537759,18549
44,1747593766588907,29919
45,1747593766688918,119854
46,1747593766808811,11042
47,1747593766888904,106226
48,1747593766995146,43087
49,1747593767088903,180957
50,1747593767269877,57397
51,1747593767327291,11583
52,1747593767388908,76544
53,1747593767488900,6965
54,1747593767588911,135803
55,1747593767724745,17759
56,1747593767788903,11109
57,1747593767888914,97075
58,1747593767988901,67291
59,1747593768088899,163130
60,1747593768252046,41405
61,1747593768293576,13451
62,1747593768388910,132050
63,1747593768520998,26184
64,1747593768588898,8025
65,1747593768688915,101345
66,1747593768790290,29129
67,1747593768888906,84809
68,1747593768988910,23727
69,1747593769088914,177651
70,1747593769266582,49333
71,1747593769315932,209098
72,1747593769525047,32832
73,1747593769557896,33498
74,1747593769591499,221903
75,1747593769813424,224053
76,1747593770037598,15477
77,1747593770053092,24679
78,1747593770077788,38193
79,1747593770115998,241240
80,1747593770357366,22495
81,1747593770379898,18473
82,1747593770398387,34499
83,1747593770488904,25144
84,1747593770588919,7296
85,1747593770688919,14629
86,1747593770788902,11022
87,1747593770888911,10329
88,1747593770988912,7848
89,1747593771088907,18628
90,1747593771188916,42544
91,1747593771288915,9357
92,1747593771388912,31883
93,1747593771488916,18559
94,1747593771588918,14085
95,1747593771688909,18773
96,1747593771788916,13988
97,1747593771888907,15005
98,1747593771988908,10054
99,1747593772088906,11790
100,1747593772188918,9046
101,1747593772288912,20597
102,1747593772388917,7266
103,1747593772488911,8272
104,1747593772588918,35279
105,1747593772688912,10329
106,1747593772788912,8126
107,1747593772888906,23499
108,1747593772988919,6917
109,1747593773088909,9763
110,1747593773188911,16027
111,1747593773288917,11162
112,1747593773388911,5954
113,1747593773488908,27320
114,1747593773588917,10121
115,1747593773688914,9109
116,1747593773788918,16374
117,1747593773888924,10340
118,1747593773988915,11977
119,1747593774088908,20259
120,1747593774188921,38105
121,1747593774288919,8090
122,1747593774388913,25761
123,1747593774488919,8223
124,1747593774588911,7096
125,1747593774688911,13518
126,1747593774788923,9273
127,1747593774888902,14410
128,1747593774988910,14810
129,1747593775088915,60455
130,1747593775188910,17032
131,1747593775288915,15969
132,1747593775388911,7918
133,1747593775488908,16696
134,1747593775588919,31079
135,1747593775688907,8200
136,1747593775789081,17147
137,1747593775888913,15924
138,1747593775988911,20016
139,1747593776088911,7166
140,1747593776188901,10979
141,1747593776288908,8813
142,1747593776388904,11178
143,1747593776488905,34930
144,1747593776588915,10029
145,1747593776688910,14470
146,1747593776788917,34385
147,1747593776888900,47307
148,1747593776988900,11207
149,1747593777088911,20779
150,1747593777188916,52959
151,1747593777288908,17228
152,1747593777388897,25971
153,1747593777488918,14137
154,1747593777588914,26275
155,1747593777688915,29525
156,1747593777788905,32047
157,1747593777888906,22469
158,1747593777988920,13767
159,1747593778088918,9199
160,1747593778188913,7981
161,1747593778288909,20568
162,1747593778388919,8611
163,1747593778488915,7217
164,1747593778588910,16840
165,1747593778688910,12015
166,1747593778788908,28577
167,1747593778888918,7101
168,1747593778988914,10537
169,1747593779088915,6206
170,1747593779188905,18237
171,1747593779288920,8980
172,1747593779388905,7275
173,1747593779488916,13915
174,1747593779588913,11110
175,1747593779688921,10875
176,1747593779788904,11093
177,1747593779888911,6092
178,1747593779988912,9242
179,1747593780088909,171767
180,1747593780260707,34853
181,1747593780295577,23235
182,1747593780388900,143266
183,1747593780532183,11688
184,1747593780588901,5245
185,1747593780688911,79674
186,1747593780788907,9897
187,1747593780888903,136347
188,1747593781025279,12097
189,1747593781088903,10672
190,1747593781188912,82097
191,1747593781288905,22399
192,1747593781388917,147902
193,1747593781536851,25633
194,1747593781588901,26846
195,1747593781688916,102924
196,1747593781791872,23127
197,1747593781888917,102194
198,1747593781991159,24062
199,1747593782088900,104448
200,1747593782193368,37459
201,1747593782288910,106387
202,1747593782395384,30903
203,1747593782488897,173128
204,1747593782662042,29712
205,1747593782691781,6418
206,1747593782788904,134246
207,1747593782923171,28732
208,1747593782988904,6881
209,1747593783088905,96643
210,1747593783188908,35331
211,1747593783288918,160876
212,1747593783449881,16511
213,1747593783488902,8417
214,1747593783588916,120899
215,1747593783709851,19246
216,1747593783788923,6944
217,1747593783888911,79270
218,1747593783988907,27946
219,1747593784088921,143794
220,1747593784232742,23223
221,1747593784288899,21580
222,1747593784388917,106540
223,1747593784495494,15046
224,1747593784588898,166730
