trial,sent_us,recv_us,latency_us
0,1747593762188920,1747593762199874,10954
1,1747593762288909,1747593762297120,8211
2,1747593762388910,1747593762395500,6590
3,1747593762488911,1747593762498128,9217
4,1747593762588902,1747593762590832,1930
5,1747593762688928,1747593762699686,10758
6,1747593762788912,1747593762790873,1961
7,1747593762888916,1747593762894460,5544
8,1747593762988903,1747593762996046,7143
9,1747593763088917,1747593763091216,2299
10,1747593763188909,1747593763192497,3588
11,1747593763288903,1747593763295080,6177
12,1747593763388919,1747593763392520,3601
13,1747593763488905,1747593763491201,2296
14,1747593763588917,1747593763614765,25848
15,1747593763688919,1747593763695987,7068
16,1747593763788909,1747593763793743,4834
17,1747593763888910,1747593763909997,21087
18,1747593763988912,1747593763993844,4932
19,1747593764088915,1747593764094189,5274
20,1747593764188912,1747593764197087,8175
21,1747593764288921,1747593764296075,7154
22,1747593764388914,1747593764390476,1562
23,1747593764488918,1747593764504040,15122
24,1747593764588922,1747593764591163,2241
25,1747593764688917,1747593764692618,3701
26,1747593764788908,1747593764803541,14633
27,1747593764888923,1747593764893296,4373
28,1747593764988917,1747593765000211,11294
29,1747593765088917,1747593765239241,150324
30,1747593765262353,1747593765282423,20070
31,1747593765300954,1747593765306646,5692
32,1747593765388917,1747593765491384,102467
33,1747593765508778,1747593765519488,10710
34,1747593765588915,1747593765592084,3169
35,1747593765688907,1747593765754938,66031
36,1747593765788909,1747593765791172,2263
37,1747593765888898,1747593766004586,115688
38,1747593766020565,1747593766075105,54540
39,1747593766116157,1747593766257547,141390
40,1747593766292419,1747593766310792,18373
41,1747593766326456,1747593766328688,2232
42,1747593766388915,1747593766517612,128697
43,1747593766537759,1747593766543659,5900
44,1747593766588907,1747593766608388,19481
45,1747593766688918,1747593766788308,99390
46,1747593766808811,1747593766812820,4009
47,1747593766888904,1747593766977155,88251
48,1747593766995146,1747593767021583,26437
49,1747593767088903,1747593767256799,167896
50,1747593767269877,1747593767276913,7036
51,1747593767327291,1747593767330629,3338
52,1747593767388908,1747593767446713,57805
53,1747593767488900,1747593767490689,1789
54,1747593767588911,1747593767707112,118201
55,1747593767724745,1747593767727535,2790
56,1747593767788903,1747593767791779,2876
57,1747593767888914,1747593767969040,80126
58,1747593767988901,1747593767996317,7416
59,1747593768088899,1747593768232512,143613
60,1747593768252046,1747593768253755,1709
61,1747593768293576,1747593768297990,4414
62,1747593768388910,1747593768496826,107916
63,1747593768520998,1747593768538431,17433
64,1747593768588898,1747593768590546,1648
65,1747593768688915,1747593768768073,79158
66,1747593768790290,1747593768800982,10692
67,1747593768888906,1747593768958450,69544
68,1747593768988910,1747593769002686,13776
69,1747593769088914,1747593769232365,143451
70,1747593769266582,1747593769269648,3066
71,1747593769315932,1747593769484643,168711
72,1747593769525047,1747593769540109,15062
73,1747593769557896,1747593769568965,11069
74,1747593769591499,1747593769745627,154128
75,1747593769813424,1747593770015799,202375
76,1747593770037598,1747593770047643,10045
77,1747593770053092,1747593770067906,14814
78,1747593770077788,1747593770105991,28203
79,1747593770115998,1747593770331913,215915
80,1747593770357366,1747593770368884,11518
81,1747593770379898,1747593770386088,6190
82,1747593770398387,1747593770407931,9544
83,1747593770488904,1747593770503020,14116
84,1747593770588919,1747593770590619,1700
85,1747593770688919,1747593770695278,6359
86,1747593770788902,1747593770792993,4091
87,1747593770888911,1747593770894004,5093
88,1747593770988912,1747593770990421,1509
89,1747593771088907,1747593771098537,9630
90,1747593771188916,1747593771222027,33111
91,1747593771288915,1747593771292545,3630
92,1747593771388912,1747593771407064,18152
93,1747593771488916,1747593771494615,5699
94,1747593771588918,1747593771595554,6636
95,1747593771688909,1747593771699896,10987
96,1747593771788916,1747593771792597,3681
97,1747593771888907,1747593771894950,6043
98,1747593771988908,1747593771992907,3999
99,1747593772088906,1747593772095324,6418
100,1747593772188918,1747593772191777,2859
101,1747593772288912,1747593772301084,12172
102,1747593772388917,1747593772391399,2482
103,1747593772488911,1747593772491842,2931
104,1747593772588918,1747593772612436,23518
105,1747593772688912,1747593772692035,3123
106,1747593772788912,1747593772791582,2670
107,1747593772888906,1747593772905112,16206
108,1747593772988919,1747593772991417,2498
109,1747593773088909,1747593773093161,4252
110,1747593773188911,1747593773198267,9356
111,1747593773288917,1747593773293558,4641
112,1747593773388911,1747593773390584,1673
113,1747593773488908,1747593773503862,14954
114,1747593773588917,1747593773593807,4890
115,1747593773688914,1747593773691591,2677
116,1747593773788918,1747593773796764,7846
117,1747593773888924,1747593773891002,2078
118,1747593773988915,1747593773990346,1431
119,1747593774088908,1747593774103324,14416
120,1747593774188921,1747593774217377,28456
121,1747593774288919,1747593774291612,2693
122,1747593774388913,1747593774405291,16378
123,1747593774488919,1747593774492206,3287
124,1747593774588911,1747593774591184,2273
125,1747593774688911,1747593774696885,7974
126,1747593774788923,1747593774793320,4397
127,1747593774888902,1747593774894579,5677
128,1747593774988910,1747593774997390,8480
129,1747593775088915,1747593775141111,52196
130,1747593775188910,1747593775197088,8178
131,1747593775288915,1747593775297232,8317
132,1747593775388911,1747593775391177,2266
133,1747593775488908,1747593775498132,9224
134,1747593775588919,1747593775609428,20509
135,1747593775688907,1747593775692782,3875
136,1747593775789081,1747593775795670,6589
137,1747593775888913,1747593775897035,8122
138,1747593775988911,1747593775993473,4562
139,1747593776088911,1747593776090818,1907
140,1747593776188901,1747593776194403,5502
141,1747593776288908,1747593776292722,3814
142,1747593776388904,1747593776395646,6742
143,1747593776488905,1747593776515293,26388
144,1747593776588915,1747593776593343,4428
145,1747593776688910,1747593776695904,6994
146,1747593776788917,1747593776805924,17007
