trial,local_us,latency
0,1747599868535252,1197
1,1747599868536479,374
2,1747599868536869,425
3,1747599868537314,410
4,1747599868537742,407
5,1747599868538169,285
6,1747599868538473,281
7,1747599868538770,275
8,1747599868539061,286
9,1747599868539364,274
10,1747599868539655,534
11,1747599868540209,400
12,1747599868540628,408
13,1747599868541056,415
14,1747599868541490,283
15,1747599868541790,276
16,1747599868542083,486
17,1747599868542586,401
18,1747599868543007,417
19,1747599868543443,403
20,1747599868543866,412
21,1747599868544296,403
22,1747599868544719,411
23,1747599868545149,285
24,1747599868545453,281
25,1747599868545750,275
26,1747599868546040,278
27,1747599868546335,275
28,1747599868546625,278
29,1747599868546920,622
30,1747599868547561,329
31,1747599868547909,276
32,1747599868548201,279
33,1747599868548496,379
34,1747599868548893,434
35,1747599868549346,402
36,1747599868549768,413
37,1747599868550200,283
38,1747599868550500,281
39,1747599868550797,274
40,1747599868551087,286
41,1747599868551389,274
42,1747599868551679,391
43,1747599868552088,454
44,1747599868552563,412
45,1747599868552993,285
46,1747599868553296,281
47,1747599868553593,493
48,1747599868554107,408
49,1747599868554534,397
50,1747599868554950,307
51,1747599868555275,276
52,1747599868555568,279
53,1747599868555862,274
54,1747599868556152,279
55,1747599868556447,274
56,1747599868556737,381
57,1747599868557136,472
58,1747599868557627,406
59,1747599868558054,410
60,1747599868558481,407
61,1747599868558908,285
62,1747599868559218,280
63,1747599868559515,382
64,1747599868559915,413
65,1747599868560349,290
66,1747599868560656,281
67,1747599868560953,281
68,1747599868561250,279
69,1747599868561545,274
70,1747599868561835,279
71,1747599868562130,274
72,1747599868562457,288
73,1747599868562762,275
74,1747599868563052,285
75,1747599868563353,274
76,1747599868563643,279
77,1747599868563938,384
78,1747599868564340,539
79,1747599868564899,412
80,1747599868565330,408
81,1747599868565759,408
82,1747599868566185,409
83,1747599868566613,407
84,1747599868567039,415
85,1747599868567475,408
86,1747599868567901,408
87,1747599868568329,407
88,1747599868568755,408
89,1747599868569183,414
90,1747599868569616,408
91,1747599868570044,408
92,1747599868570470,408
93,1747599868570899,415
94,1747599868571332,408
95,1747599868571760,408
96,1747599868572186,408
97,1747599868572615,408
98,1747599868573041,416
99,1747599868573476,407
100,1747599868573902,408
101,1747599868574331,408
102,1747599868574757,409
103,1747599868575185,413
104,1747599868575617,408
105,1747599868576045,400
106,1747599868576465,403
107,1747599868576887,412
108,1747599868577319,413
109,1747599868577750,402
110,1747599868578173,412
111,1747599868578604,402
112,1747599868579027,419
113,1747599868579464,402
114,1747599868579886,413
115,1747599868580318,395
116,1747599868580736,408
117,1747599868581163,412
118,1747599868581595,413
119,1747599868582026,397
120,1747599868582443,409
121,1747599868582870,282
122,1747599868583171,287
123,1747599868583474,364
124,1747599868583856,304
125,1747599868584178,282
126,1747599868584479,401
127,1747599868584898,438
128,1747599868585354,407
129,1747599868585781,409
130,1747599868586209,286
131,1747599868586514,277
132,1747599868586806,278
133,1747599868587101,281
134,1747599868587398,278
135,1747599868587693,375
136,1747599868588086,462
137,1747599868588568,289
138,1747599868588876,486
139,1747599868589380,397
140,1747599868589795,408
141,1747599868590224,407
142,1747599868590650,282
143,1747599868590950,283
144,1747599868591250,279
145,1747599868591544,367
146,1747599868591929,520
147,1747599868592469,404
148,1747599868592892,282
149,1747599868593193,283
150,1747599868593491,279
151,1747599868593786,504
152,1747599868594311,404
153,1747599868594733,399
154,1747599868595152,418
155,1747599868595589,403
156,1747599868596012,411
157,1747599868596442,382
158,1747599868596844,410
159,1747599868597273,404
160,1747599868597697,413
161,1747599868598129,403
162,1747599868598551,413
163,1747599868598982,409
164,1747599868599411,413
165,1747599868599843,282
166,1747599868600143,281
167,1747599868600440,274
168,1747599868600730,279
169,1747599868601025,281
170,1747599868601323,406
171,1747599868601749,437
172,1747599868602205,480
173,1747599868602705,403
174,1747599868603126,411
175,1747599868603558,445
176,1747599868604023,304
177,1747599868604342,342
178,1747599868604701,426
179,1747599868605147,414
180,1747599868605579,411
181,1747599868606010,292
182,1747599868606321,379
183,1747599868606717,336
184,1747599868607152,409
185,1747599868607581,401
186,1747599868608002,407
187,1747599868608428,285
188,1747599868608729,281
189,1747599868609026,288
190,1747599868609330,281
191,1747599868609627,281
192,1747599868609924,281
193,1747599868610221,280
194,1747599868610518,281
195,1747599868610815,405
196,1747599868611236,482
197,1747599868611739,412
198,1747599868612169,404
199,1747599868612593,302
200,1747599868612914,283
201,1747599868613220,281
202,1747599868613517,280
203,1747599868613814,280
204,1747599868614111,281
205,1747599868614408,281
206,1747599868614704,281
207,1747599868615001,288
208,1747599868615305,281
209,1747599868615602,281
210,1747599868615899,281
211,1747599868616196,281
212,1747599868616493,281
213,1747599868616790,281
214,1747599868617087,422
215,1747599868617530,302
216,1747599868617850,283
217,1747599868618149,281
218,1747599868618446,281
219,1747599868618743,281
220,1747599868619040,288
221,1747599868619345,725
222,1747599868620089,410
223,1747599868620517,410
224,1747599868620947,421
225,1747599868621387,410
226,1747599868621816,414
227,1747599868622249,410
