trial,sent_us,recv_us,latency_us
0,1747599868535252,1747599868538456,3204
1,1747599868536479,1747599868538625,2146
2,1747599868536869,1747599868538729,1860
3,1747599868537314,1747599868538812,1498
4,1747599868537742,1747599868540860,3118
5,1747599868538169,1747599868544842,6673
6,1747599868538770,1747599868545190,6420
7,1747599868540209,1747599868545416,5207
8,1747599868540628,1747599868545608,4980
9,1747599868541056,1747599868545792,4736
10,1747599868541490,1747599868545961,4471
11,1747599868541790,1747599868546127,4337
12,1747599868542083,1747599868546206,4123
13,1747599868542586,1747599868546296,3710
14,1747599868543007,1747599868546373,3366
15,1747599868543443,1747599868546447,3004
16,1747599868543866,1747599868546524,2658
17,1747599868544296,1747599868546600,2304
18,1747599868544719,1747599868547210,2491
19,1747599868545149,1747599868549571,4422
20,1747599868545453,1747599868549781,4328
21,1747599868545750,1747599868549972,4222
22,1747599868546040,1747599868550157,4117
23,1747599868546335,1747599868550352,4017
24,1747599868546625,1747599868550577,3952
25,1747599868546920,1747599868550787,3867
26,1747599868547561,1747599868550892,3331
27,1747599868547909,1747599868550966,3057
28,1747599868548201,1747599868551039,2838
29,1747599868548496,1747599868551113,2617
30,1747599868548893,1747599868551187,2294
31,1747599868549346,1747599868551270,1924
32,1747599868549768,1747599868552274,2506
33,1747599868550200,1747599868554357,4157
34,1747599868550500,1747599868554619,4119
35,1747599868550797,1747599868554947,4150
36,1747599868551087,1747599868555321,4234
37,1747599868551389,1747599868555629,4240
38,1747599868551679,1747599868555766,4087
39,1747599868552088,1747599868555840,3752
40,1747599868552563,1747599868555915,3352
41,1747599868552993,1747599868555991,2998
42,1747599868553296,1747599868556077,2781
43,1747599868553593,1747599868556164,2571
44,1747599868554107,1747599868556263,2156
45,1747599868554534,1747599868558377,3843
46,1747599868554950,1747599868562592,7642
47,1747599868555275,1747599868562777,7502
48,1747599868555568,1747599868562940,7372
49,1747599868555862,1747599868613345,57483
50,1747599868557136,1747599868613713,56577
51,1747599868559218,1747599868614038,54820
52,1747599868560953,1747599868614308,53355
53,1747599868562457,1747599868614503,52046
54,1747599868563938,1747599868614632,50694
55,1747599868565759,1747599868614722,48963
56,1747599868567475,1747599868614839,47364
57,1747599868569183,1747599868614929,45746
58,1747599868570470,1747599868615012,44542
59,1747599868571760,1747599868615093,43333
60,1747599868573041,1747599868615174,42133
61,1747599868574331,1747599868615270,40939
62,1747599868575617,1747599868615354,39737
63,1747599868576887,1747599868615434,38547
64,1747599868578173,1747599868615517,37344
65,1747599868579464,1747599868615598,36134
66,1747599868580736,1747599868615679,34943
67,1747599868582443,1747599868615769,33326
68,1747599868583474,1747599868615853,32379
69,1747599868584479,1747599868615931,31452
70,1747599868585781,1747599868616008,30227
71,1747599868586806,1747599868616083,29277
72,1747599868587693,1747599868616160,28467
73,1747599868589380,1747599868616255,26875
74,1747599868590650,1747599868616337,25687
75,1747599868591544,1747599868616413,24869
76,1747599868592892,1747599868616495,23603
77,1747599868593786,1747599868616575,22789
78,1747599868595589,1747599868616662,21073
79,1747599868596844,1747599868616739,19895
80,1747599868598129,1747599868616814,18685
81,1747599868599411,1747599868616888,17477
82,1747599868600143,1747599868616963,16820
83,1747599868601323,1747599868617036,15713
84,1747599868602705,1747599868617109,14404
85,1747599868603558,1747599868617182,13624
86,1747599868605147,1747599868617274,12127
87,1747599868606321,1747599868617353,11032
88,1747599868607581,1747599868617431,9850
89,1747599868608729,1747599868617507,8778
90,1747599868609026,1747599868617580,8554
91,1747599868609330,1747599868617653,8323
92,1747599868609627,1747599868617726,8099
93,1747599868609924,1747599868617800,7876
94,1747599868610221,1747599868617957,7736
95,1747599868610518,1747599868618034,7516
96,1747599868610815,1747599868618108,7293
97,1747599868611236,1747599868618183,6947
98,1747599868611739,1747599868618273,6534
99,1747599868612169,1747599868618350,6181
100,1747599868612593,1747599868622616,10023
101,1747599868612914,1747599868622982,10068
102,1747599868614408,1747599868623373,8965
103,1747599868616196,1747599868623697,7501
104,1747599868618149,1747599868623986,5837
105,1747599868618446,1747599868624210,5764
106,1747599868618743,1747599868624300,5557
107,1747599868619040,1747599868624374,5334
108,1747599868619345,1747599868624449,5104
109,1747599868620089,1747599868624528,4439
110,1747599868620517,1747599868624601,4084
111,1747599868620947,1747599868624675,3728
112,1747599868621387,1747599868624748,3361
113,1747599868621816,1747599868624821,3005
114,1747599868622249,1747599868624894,2645
115,1747599868622678,1747599868625891,3213
116,1747599868623111,1747599868628174,5063
117,1747599868623420,1747599868628414,4994
118,1747599868623719,1747599868628620,4901
119,1747599868624015,1747599868628814,4799
120,1747599868624312,1747599868628909,4597
121,1747599868624609,1747599868628992,4383
122,1747599868624906,1747599868629084,4178
123,1747599868625203,1747599868629164,3961
124,1747599868625860,1747599868629248,3388
125,1747599868626210,1747599868629327,3117
126,1747599868626509,1747599868629405,2896
127,1747599868626806,1747599868629482,2676
128,1747599868627103,1747599868629559,2456
