trial,local_us,latency
0,1747599522596488,50843
1,1747599522647349,19705
2,1747599522667069,7253
3,1747599522674336,19630
4,1747599522693979,8270
5,1747599522702263,12458
6,1747599522714735,10197
7,1747599522724946,15170
8,1747599522740130,8200
9,1747599522748343,7820
10,1747599522756175,9100
11,1747599522765291,12113
12,1747599522777417,11471
13,1747599522788901,10962
14,1747599522799876,9752
15,1747599522809641,15456
16,1747599522825111,12589
17,1747599522837714,12071
18,1747599522849798,8856
19,1747599522858666,8344
20,1747599522867023,12388
21,1747599522879424,7219
22,1747599522886656,8511
23,1747599522895181,11503
24,1747599522906696,15037
25,1747599522921746,10485
26,1747599522932244,8518
27,1747599522940776,12236
28,1747599522953024,7296
29,1747599522960334,12868
30,1747599522973215,12108
31,1747599522985336,10111
32,1747599522995460,9039
33,1747599523004514,9464
34,1747599523013993,13710
35,1747599523027717,24566
36,1747599523052296,12648
37,1747599523064957,7635
38,1747599523072606,14855
39,1747599523087474,10817
40,1747599523098307,7713
41,1747599523106035,8102
42,1747599523114152,9856
43,1747599523124021,7526
44,1747599523131561,9093
45,1747599523140667,8583
46,1747599523149265,9268
47,1747599523158546,10168
48,1747599523168728,10244
49,1747599523178986,10988
50,1747599523189988,8978
51,1747599523198980,14730
52,1747599523213724,11248
53,1747599523224985,10029
54,1747599523235029,10233
55,1747599523245277,7976
56,1747599523253268,18065
57,1747599523271347,10625
58,1747599523281985,11631
59,1747599523293631,7509
60,1747599523301155,12794
61,1747599523313961,8002
62,1747599523321978,18481
63,1747599523340475,8814
64,1747599523349302,9117
65,1747599523358432,10543
66,1747599523368988,8425
67,1747599523377426,17010
68,1747599523394457,11705
69,1747599523406175,13654
70,1747599523419843,10886
71,1747599523430742,16451
72,1747599523447209,7569
73,1747599523454791,6696
74,1747599523461501,9136
75,1747599523470649,16003
76,1747599523486666,16977
77,1747599523503657,9003
78,1747599523512673,7732
79,1747599523520419,12790
80,1747599523533221,22717
81,1747599523555954,12369
82,1747599523568336,8290
83,1747599523576641,9238
84,1747599523585893,13654
85,1747599523599559,10474
86,1747599523610049,7603
87,1747599523617665,6927
88,1747599523624607,5962
89,1747599523630582,8866
90,1747599523639462,8542
91,1747599523648018,5824
92,1747599523653855,6624
93,1747599523660492,6769
94,1747599523667274,11956
95,1747599523679243,8252
96,1747599523687509,13096
97,1747599523700619,11205
98,1747599523711837,15262
99,1747599523727112,13128
100,1747599523740253,11952
101,1747599523752218,8685
102,1747599523760917,9232
103,1747599523770162,9146
104,1747599523779321,7183
105,1747599523786517,10563
106,1747599523797093,10954
107,1747599523808062,7961
108,1747599523816036,6634
109,1747599523822683,9375
110,1747599523832072,11873
111,1747599523843959,35792
112,1747599523879764,11394
113,1747599523891173,20616
114,1747599523911802,19317
115,1747599523931131,19653
116,1747599523950800,18825
117,1747599523969640,9226
118,1747599523978879,7819
119,1747599523986714,10044
120,1747599523996771,12317
121,1747599524009101,9040
122,1747599524018158,9463
123,1747599524027634,9034
124,1747599524036683,17061
