trial,sent_us,recv_us,latency_us
0,1747599522596488,1747599522640773,44285
1,1747599522647349,1747599522655903,8554
2,1747599522667069,1747599522670043,2974
3,1747599522674336,1747599522684994,10658
4,1747599522693979,1747599522698172,4193
5,1747599522702263,1747599522709692,7429
6,1747599522714735,1747599522721068,6333
7,1747599522724946,1747599522732615,7669
8,1747599522740130,1747599522743959,3829
9,1747599522748343,1747599522752545,4202
10,1747599522756175,1747599522759703,3528
11,1747599522765291,1747599522773086,7795
12,1747599522777417,1747599522781724,4307
13,1747599522788901,1747599522793805,4904
14,1747599522799876,1747599522803840,3964
15,1747599522809641,1747599522817189,7548
16,1747599522825111,1747599522830864,5753
17,1747599522837714,1747599522843140,5426
18,1747599522849798,1747599522854327,4529
19,1747599522858666,1747599522863604,4938
20,1747599522867023,1747599522873748,6725
21,1747599522879424,1747599522882677,3253
22,1747599522886656,1747599522889626,2970
23,1747599522895181,1747599522899422,4241
24,1747599522906696,1747599522917697,11001
25,1747599522921746,1747599522927107,5361
26,1747599522932244,1747599522936201,3957
27,1747599522940776,1747599522946884,6108
28,1747599522953024,1747599522955128,2104
29,1747599522960334,1747599522966770,6436
30,1747599522973215,1747599522978546,5331
31,1747599522985336,1747599522989706,4370
32,1747599522995460,1747599523000255,4795
33,1747599523004514,1747599523008489,3975
34,1747599523013993,1747599523022284,8291
35,1747599523027717,1747599523043010,15293
36,1747599523052296,1747599523057186,4890
37,1747599523064957,1747599523066884,1927
38,1747599523072606,1747599523080124,7518
39,1747599523087474,1747599523090438,2964
40,1747599523098307,1747599523099810,1503
41,1747599523106035,1747599523109799,3764
42,1747599523114152,1747599523119279,5127
43,1747599523124021,1747599523126577,2556
44,1747599523131561,1747599523136563,5002
45,1747599523140667,1747599523145605,4938
46,1747599523149265,1747599523153215,3950
47,1747599523158546,1747599523162602,4056
48,1747599523168728,1747599523172994,4266
49,1747599523178986,1747599523182573,3587
50,1747599523189988,1747599523193847,3859
51,1747599523198980,1747599523206708,7728
52,1747599523213724,1747599523217418,3694
53,1747599523224985,1747599523230810,5825
54,1747599523235029,1747599523238702,3673
55,1747599523245277,1747599523248602,3325
56,1747599523253268,1747599523262101,8833
57,1747599523271347,1747599523276116,4769
58,1747599523281985,1747599523286966,4981
59,1747599523293631,1747599523297012,3381
60,1747599523301155,1747599523309189,8034
61,1747599523313961,1747599523318332,4371
62,1747599523321978,1747599523333905,11927
63,1747599523340475,1747599523344745,4270
64,1747599523349302,1747599523354953,5651
65,1747599523358432,1747599523363803,5371
66,1747599523368988,1747599523372163,3175
67,1747599523377426,1747599523386899,9473
68,1747599523394457,1747599523400840,6383
69,1747599523406175,1747599523414865,8690
70,1747599523419843,1747599523426714,6871
71,1747599523430742,1747599523434992,4250
72,1747599523447209,1747599523451318,4109
73,1747599523454791,1747599523457182,2391
74,1747599523461501,1747599523464736,3235
75,1747599523470649,1747599523479369,8720
76,1747599523486666,1747599523491838,5172
77,1747599523503657,1747599523506601,2944
78,1747599523512673,1747599523515311,2638
79,1747599523520419,1747599523524015,3596
80,1747599523533221,1747599523543800,10579
81,1747599523555954,1747599523562237,6283
82,1747599523568336,1747599523572419,4083
83,1747599523576641,1747599523580421,3780
84,1747599523585893,1747599523592608,6715
85,1747599523599559,1747599523606542,6983
86,1747599523610049,1747599523613158,3109
87,1747599523617665,1747599523621003,3338
88,1747599523624607,1747599523626298,1691
89,1747599523630582,1747599523634222,3640
90,1747599523639462,1747599523644017,4555
91,1747599523648018,1747599523649261,1243
92,1747599523653855,1747599523656712,2857
93,1747599523660492,1747599523663100,2608
94,1747599523667274,1747599523672387,5113
95,1747599523679243,1747599523683158,3915
96,1747599523687509,1747599523693056,5547
97,1747599523700619,1747599523704918,4299
98,1747599523711837,1747599523716494,4657
99,1747599523727112,1747599523734080,6968
100,1747599523740253,1747599523744290,4037
101,1747599523752218,1747599523756364,4146
102,1747599523760917,1747599523765380,4463
103,1747599523770162,1747599523774268,4106
