trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
0,1066022,1747574567676857,9036,0,0,0
1,1084355,1747574567695677,9334,18333,18820,487
2,1102355,1747574567714174,9668,18000,18497,497
3,1120355,1747574567731406,9151,18000,17232,-768
4,1138355,1747574567749172,8979,18000,17766,-234
5,1156355,1747574567767226,9024,18000,18054,54
6,1174355,1747574567785391,9136,18000,18165,165
7,1192355,1747574567803298,9079,18000,17907,-93
8,1210355,1747574567821364,9115,18000,18066,66
9,1228355,1747574567839485,9229,18000,18121,121
10,1246355,1747574567857230,9030,18000,17745,-255
11,1264355,1747574567875300,9077,18000,18070,70
12,1282355,1747574567893769,9476,18000,18469,469
13,1300355,1747574567911290,9082,18000,17521,-479
14,1318355,1747574567930231,9689,18000,18941,941
15,1336355,1747574567947759,9472,18000,17528,-472
16,1354355,1747574567965373,9118,18000,17614,-386
17,1372355,1747574567983362,9133,18000,17989,-11
18,1390355,1747574568001332,9113,18000,17970,-30
19,1408355,1747574568020212,9773,18000,18880,880
20,1426355,1747574568037413,9157,18000,17201,-799
21,1444355,1747574568055724,9342,18000,18311,311
22,1462355,1747574568073356,9118,18000,17632,-368
23,1480355,1747574568091713,9354,18000,18357,357
24,1498355,1747574568109399,9158,18000,17686,-314
25,1516355,1747574568127737,9382,18000,18338,338
26,1534355,1747574568145894,9531,18000,18157,157
27,1552355,1747574568163535,9246,18000,17641,-359
28,1570355,1747574568181432,9160,18000,17897,-103
29,1588355,1747574568199497,9232,18000,18065,65
30,1606355,1747574568217886,9510,18000,18389,389
31,1624355,1747574568236105,9633,18000,18219,219
32,1642355,1747574568253550,9260,18000,17445,-555
33,1660355,1747574568271284,9090,18000,17734,-266
34,1678355,1747574568290111,9629,18000,18827,827
35,1696355,1747574568307719,9370,18000,17608,-392
36,1714355,1747574568325790,9404,18000,18071,71
37,1732355,1747574568343867,9494,18000,18077,77
38,1750355,1747574568361610,9305,18000,17743,-257
39,1768355,1747574568379086,8908,18000,17476,-524
40,1786355,1747574568397484,9227,18000,18398,398
41,1804355,1747574568415736,9360,18000,18252,252
42,1822355,1747574568433755,9387,18000,18019,19
43,1840355,1747574568451129,8955,18000,17374,-626
44,1858355,1747574568469415,9163,18000,18286,286
45,1876355,1747574568487764,9399,18000,18349,349
46,1894355,1747574568506497,9876,18000,18733,733
47,1912355,1747574568524378,9909,18000,17881,-119
48,1930355,1747574568541784,9419,18000,17406,-594
49,1948355,1747574568559640,9297,18000,17856,-144
50,1966355,1747574568577363,9131,18000,17723,-277
51,1984355,1747574568595789,9423,18000,18426,426
52,2002355,1747574568613712,9355,18000,17923,-77
53,2020355,1747574568632078,9605,18000,18366,366
54,2038355,1747574568649885,9529,18000,17807,-193
55,2056355,1747574568667721,9374,18000,17836,-164
56,2074355,1747574568685906,9530,18000,18185,185
57,2092355,1747574568703905,9504,18000,17999,-1
58,2110355,1747574568721407,9142,18000,17502,-498
59,2128355,1747574568739713,9360,18000,18306,306
60,2146355,1747574568757358,9110,18000,17645,-355
61,2164355,1747574568775289,9066,18000,17931,-69
62,2182355,1747574568793369,9122,18000,18080,80
63,2200355,1747574568811349,9140,18000,17980,-20
64,2218355,1747574568829412,9150,18000,18063,63
65,2236355,1747574568847920,9514,18000,18508,508
66,2254355,1747574568865630,9335,18000,17710,-290
67,2272355,1747574568883288,9067,18000,17658,-342
68,2290355,1747574568901468,9181,18000,18180,180
69,2308355,1747574568920248,9727,18000,18780,780
70,2326355,1747574568938033,9618,18000,17785,-215
71,2344355,1747574568955299,9047,18000,17266,-734
72,2362355,1747574568973288,9074,18000,17989,-11
73,2380355,1747574568992061,9672,18000,18773,773
74,2398355,1747574569009697,9355,18000,17636,-364
75,2416355,1747574569027321,9104,18000,17624,-376
76,2434355,1747574569045770,9413,18000,18449,449
77,2452355,1747574569063704,9365,18000,17934,-66
78,2470355,1747574569081248,9029,18000,17544,-456
79,2488355,1747574569100079,9611,18000,18831,831
80,2506355,1747574569118236,9709,18000,18157,157
81,2524355,1747574569135478,9233,18000,17242,-758
82,2542355,1747574569154065,9592,18000,18587,587
83,2560355,1747574569171230,9023,18000,17165,-835
84,2578355,1747574569190047,9562,18000,18817,817
85,2596355,1747574569208277,9770,18000,18230,230
86,2614355,1747574569225831,9460,18000,17554,-446
87,2632355,1747574569243583,9306,18000,17752,-248
88,2650355,1747574569261645,9325,18000,18062,62
89,2668355,1747574569279854,9498,18000,18209,209
90,2686355,1747574569297110,8990,18000,17256,-744
91,2704355,1747574569315282,9053,18000,18172,172
92,2722355,1747574569334424,9853,18000,19142,1142
93,2740355,1747574569351729,9376,18000,17305,-695
94,2758355,1747574569369526,9266,18000,17797,-203
95,2776355,1747574569387406,9281,18000,17880,-120
96,2794355,1747574569405320,9087,18000,17914,-86
97,2812355,1747574569423699,9357,18000,18379,379
98,2830355,1747574569442273,9749,18000,18574,574
99,2848355,1747574569459764,9411,18000,17491,-509
100,2866355,1747574569477649,9336,18000,17885,-115
101,2884355,1747574569495869,9510,18000,18220,220
102,2902355,1747574569513352,9130,18000,17483,-517
103,2920355,1747574569531798,9403,18000,18446,446
104,2938355,1747574569549234,9047,18000,17436,-564
105,2956355,1747574569567092,8927,18000,17858,-142
106,2974355,1747574569585124,8947,18000,18032,32
107,2992355,1747574569602975,8860,18000,17851,-149
108,3010355,1747574569621156,8959,18000,18181,181
109,3028355,1747574569639697,9350,18000,18541,541
110,3046355,1747574569658185,9717,18000,18488,488
111,3064355,1747574569675455,9205,18000,17270,-730
112,3082355,1747574569693223,9026,18000,17768,-232
113,3100355,1747574569712065,9599,18000,18842,842
114,3118355,1747574569729416,9151,18000,17351,-649
115,3136355,1747574569747063,8916,18000,17647,-353
116,3154355,1747574569765401,9153,18000,18338,338
117,3172355,1747574569784159,9700,18000,18758,758
118,3190355,1747574569801456,9352,18000,17297,-703
119,3208355,1747574569819839,9469,18000,18383,383
120,3226355,1747574569837865,9514,18000,18026,26
121,3244355,1747574569856119,9634,18000,18254,254
122,3262355,1747574569873666,9325,18000,17547,-453
