trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
0,2692491,1747578820078463,8055,0,0,0
1,2710358,1747578820094238,5641,17867,15775,-2092
2,2724359,1747578820120740,14337,14001,26502,12501
3,2748358,1747578820132143,5761,23999,11403,-12596
4,2762359,1747578820146429,6661,14001,14286,285
5,2778359,1747578820186014,22043,16000,39585,23585
6,2810359,1747578820196067,7109,32000,10053,-21947
7,2826359,1747578820211044,6057,16000,14977,-1023
8,2842359,1747578820249409,21536,16000,38365,22365
9,2872359,1747578820259170,7750,30000,9761,-20239
10,2888359,1747578820270136,4502,16000,10966,-5034
11,2902359,1747578820301870,16456,14000,31734,17734
12,2928359,1747578820312618,7222,26000,10748,-15252
13,2944359,1747578820327342,6023,16000,14724,-1276
14,2960359,1747578820358777,15778,16000,31435,15435
15,2984359,1747578820370724,7590,24000,11947,-12053
16,3000359,1747578820384732,6261,16000,14008,-1992
17,3016359,1747578820417174,17162,16000,32442,16442
18,3042359,1747578820427859,7006,26000,10685,-15315
19,3058724,1747578820444611,8041,16365,16752,387
20,3076359,1747578820474075,15740,17635,29464,11829
21,3100359,1747578820483014,5077,24000,8939,-15061
22,3114359,1747578820498516,8314,14000,15502,1502
23,3132359,1747578820558700,34584,18000,60184,42184
24,3176359,1747578820559619,5492,44000,919,-43081
25,3190359,1747578820600489,23910,14000,40870,26870
26,3222359,1747578820607216,7189,32000,6727,-25273
27,3238359,1747578820675702,41815,16000,68486,52486
28,3288359,1747578820671280,5332,50000,18446744073709547194,-54422
29,3302359,1747578820684414,4769,14000,13134,-866
30,3316359,1747578820872346,257976,14000,187932,173932
31,3582359,1747578820996922,27066,266000,124576,-141424
32,3618359,1747578821013029,14623,36000,16107,-19893
33,3642359,1747578821043885,18213,24000,30856,6856
34,3670359,1747578821055535,6751,28000,11650,-16350
35,3686359,1747578821070043,5957,16000,14508,-1492
36,3700359,1747578821101083,17858,14000,31040,17040
37,3726359,1747578821129854,19587,26000,28771,2771
38,3754359,1747578821163488,22955,28000,33634,5634
39,3786359,1747578821169991,5815,32000,6503,-25497
40,3800359,1747578821184184,5932,14000,14193,193
41,3814359,1747578821216611,18355,14000,32427,18427
42,3842359,1747578821228420,7500,28000,11809,-16191
43,3858359,1747578821241485,5357,16000,13065,-2935
44,3872359,1747578821279873,23045,14000,38388,24388
45,3904359,1747578821287823,5903,32000,7950,-24050
46,3918359,1747578821300312,4794,14000,12489,-1511
47,3932359,1747578821336085,19325,14000,35773,21773
48,3960359,1747578821351618,11142,28000,15533,-12467
49,3980359,1747578821370236,10511,20000,18618,-1382
50,4000359,1747578821404504,21055,20000,34268,14268
51,4030359,1747578821418091,9195,30000,13587,-16413
52,4048359,1747578821502988,56481,18000,84897,66897
53,4114359,1747578821497941,5905,66000,18446744073709546569,-71047
54,4128359,1747578821547587,29249,14000,49646,35646
55,4166359,1747578821550906,6322,38000,3319,-34681
56,4182359,1747578821566418,6121,16000,15512,-488
57,4198359,1747578821604391,21418,16000,37973,21973
58,4228359,1747578821611010,5047,30000,6619,-23381
59,4242359,1747578821627968,7219,14000,16958,2958
60,4258359,1747578821659820,17839,16000,31852,15852
61,4284359,1747578821668362,6520,26000,8542,-17458
62,4300359,1747578821685925,7110,16000,17563,1563
63,4316359,1747578821716954,17172,16000,31029,15029
64,4342359,1747578821725513,7186,26000,8559,-17441
65,4358359,1747578821747660,9598,16000,22147,6147
66,4376359,1747578821776980,17062,18000,29320,11320
67,4402359,1747578821785569,5539,26000,8589,-17411
68,4416359,1747578821798707,4980,14000,13138,-862
69,4430359,1747578821834476,21594,14000,35769,21769
70,4460359,1747578821842978,5046,30000,8502,-21498
71,4474359,1747578821856124,4392,14000,13146,-854
72,4488359,1747578821978838,109442,14000,122714,108714
73,4606359,1747578821992488,8211,118000,13650,-104350
74,4624359,1747578822012424,9426,18000,19936,1936
75,4642359,1747578822036973,14665,18000,24549,6549
76,4666359,1747578822049040,5118,24000,12067,-11933
77,4680359,1747578822065934,7282,14000,16894,2894
78,4696359,1747578822095621,16465,16000,29687,13687
79,4722359,1747578822111244,9887,26000,15623,-10377
80,4740359,1747578822124075,6469,18000,12831,-5169
81,4756359,1747578822152329,14263,16000,28254,12254
82,4780359,1747578822163223,5160,24000,10894,-13106
83,4794359,1747578822179416,6870,14000,16193,2193
84,4810359,1747578822388610,194475,16000,209194,193194
85,5014359,1747578822417369,19428,204000,28759,-175241
86,5042359,1747578822425239,5300,28000,7870,-20130
87,5056359,1747578822439642,6292,14000,14403,403
88,5072359,1747578822477289,19965,16000,37647,21647
89,5100359,1747578822493748,16725,28000,16459,-11541
90,5126359,1747578822533343,22141,26000,39595,13595
91,5158359,1747578822542886,7104,32000,9543,-22457
92,5174359,1747578822562163,9506,16000,19277,3277
93,5192359,1747578822582349,10290,18000,20186,2186
94,5212359,1747578822594587,4853,20000,12238,-7762
95,5226359,1747578822609558,5490,14000,14971,971
96,5240359,1747578822650414,23637,14000,40856,26856
97,5272359,1747578822655063,5082,32000,4649,-27351
98,5286359,1747578822670688,6257,14000,15625,1625
99,5302359,1747578822705098,18445,16000,34410,18410
100,5330359,1747578822713002,5100,28000,7904,-20096
101,5344359,1747578822727864,5697,14000,14862,862
102,5358359,1747578822763714,20555,14000,35850,21850
103,5388359,1747578822771525,5487,30000,7811,-22189
104,5402359,1747578822785704,6559,14000,14179,179
105,5418359,1747578822823992,20734,16000,38288,22288
106,5448359,1747578822832283,6505,30000,8291,-21709
107,5464359,1747578822851113,7821,16000,18830,2830
108,5480359,1747578822917071,41295,16000,65958,49958
109,5530359,1747578823164434,293668,50000,247363,197363
110,5832359,1747578823228756,14591,302000,64322,-237678
111,5856359,1747578823239020,5170,24000,10264,-13736
112,5870359,1747578823265014,15431,14000,25994,11994
113,5894359,1747578823285602,11417,24000,20588,-3412
114,5914359,1747578823299540,7424,20000,13938,-6062
115,5930359,1747578823315243,7064,16000,15703,-297
116,5946359,1747578823342302,14281,16000,27059,11059
117,5970359,1747578823366322,13952,24000,24020,20
118,5992359,1747578823374226,4549,22000,7904,-14096
119,6006359,1747578823399733,14332,14000,25507,11507
120,6030359,1747578823416765,8149,24000,17032,-6968
121,6048359,1747578823464791,28053,18000,48026,30026
122,6086359,1747578823473349,7917,38000,8558,-29442
123,6102359,1747578823485811,5501,16000,12462,-3538
124,6116359,1747578823520018,19063,14000,34207,20207
125,6144359,1747578823528783,6785,28000,8765,-19235
126,6160359,1747578823552235,12047,16000,23452,7452
127,6182359,1747578823573211,12208,22000,20976,-1024
128,6204359,1747578823608962,19700,22000,35751,13751
129,6232359,1747578823630168,15672,28000,21206,-6794
130,6256359,1747578823649219,11704,24000,19051,-4949
131,6276359,1747578823659475,5481,20000,10256,-9744
132,6290359,1747578823693417,19424,14000,33942,19942
133,6318359,1747578823707287,9562,28000,13870,-14130
134,6336359,1747578823718914,5106,18000,11627,-6373
135,6350359,1747578823749330,16477,14000,30416,16416
136,6376359,1747578823766063,9611,26000,16733,-9267
137,6394359,1747578823813121,29251,18000,47058,29058
138,6432359,1747578823818811,8364,38000,5690,-32310
139,6450359,1747578823839420,9305,18000,20609,2609
140,6468359,1747578823868351,16494,18000,28931,10931
141,6494359,1747578823877235,6742,26000,8884,-17116
142,6510359,1747578823893879,5752,16000,16644,644
143,6524359,1747578823926628,19053,14000,32749,18749
144,6552359,1747578823935573,5425,28000,8945,-19055
145,6566359,1747578823948733,4944,14000,13160,-840
146,6580359,1747578823980443,16359,14000,31710,17710
147,6606359,1747578824001826,14308,26000,21383,-4617
148,6630359,1747578824014399,6977,24000,12573,-11427
149,6646359,1747578824038475,11751,16000,24076,8076
150,6666359,1747578824049006,5203,20000,10531,-9469
151,6680359,1747578824063797,6123,14000,14791,791
152,6696359,1747578824202678,154600,16000,138881,122881
153,6860359,1747578824247846,8931,164000,45168,-118832
154,6878359,1747578824268799,10999,18000,20953,2953
155,6898359,1747578824288159,11502,20000,19360,-640
156,6918359,1747578824302256,6616,20000,14097,-5903
157,6934359,1747578824342855,22904,16000,40599,24599
158,6966359,1747578824351260,6581,32000,8405,-23595
